so_id,architecture,seed_file,used_in_logs,num_logs_total,num_logs_buggy,num_logs_correct
37624102,CNN,data/seed_programs/cnn/CNN_37624102_correct.py,True,712,602,110
50079585,CNN,data/seed_programs/cnn/CNN_50079585_correct.py,False,0,0,0
52448552,CNN,data/seed_programs/cnn/CNN_52448552_correct.py,True,3,3,0
59325381,CNN,data/seed_programs/cnn/CNN_59325381_correct.py,True,16,1,15
64522751,CNN,data/seed_programs/cnn/CNN_64522751_correct.py,True,256,163,93
65376589,CNN,data/seed_programs/cnn/CNN_65376589_correct.py,True,102,102,0
70178206,CNN,data/seed_programs/cnn/CNN_70178206_correct.py,True,455,345,110
70818269,CNN,data/seed_programs/cnn/CNN_70818269_correct.py,True,24,8,16
70848143,CNN,data/seed_programs/cnn/CNN_70848143_correct.py,True,190,90,100
72328867,CNN,data/seed_programs/cnn/CNN_72328867_correct.py,True,110,81,29
72440268,CNN,data/seed_programs/cnn/CNN_72440268_correct.py,True,21,7,14
72965428,CNN,data/seed_programs/cnn/CNN_72965428_correct.py,True,15,5,10
73146829,CNN,data/seed_programs/cnn/CNN_73146829_correct.py,True,239,200,39
76132850,CNN,data/seed_programs/cnn/CNN_76132850_correct.py,True,540,430,110
31556268,FNN,data/seed_programs/fnn/FNN_31556268_correct.py,True,590,480,110
31880720,FNN,data/seed_programs/fnn/FNN_31880720_correct.py,True,182,106,76
34311586,FNN,data/seed_programs/fnn/FNN_34311586_correct.py,True,240,140,100
44164749,FNN,data/seed_programs/fnn/FNN_44164749_correct.py,True,717,607,110
46642627,FNN,data/seed_programs/fnn/FNN_46642627_correct.py,True,168,72,96
48385830,FNN,data/seed_programs/fnn/FNN_48385830_correct.py,True,20,2,18
48934338,FNN,data/seed_programs/fnn/FNN_48934338_correct.py,True,640,530,110
50201540,FNN,data/seed_programs/fnn/FNN_50201540_correct.py,True,49,18,31
50306988,FNN,data/seed_programs/fnn/FNN_50306988_correct.py,True,140,40,100
50481178,FNN,data/seed_programs/fnn/FNN_50481178_correct.py,True,249,139,110
52800582,FNN,data/seed_programs/fnn/FNN_52800582_correct.py,True,3,1,2
55328966,FNN,data/seed_programs/fnn/FNN_55328966_correct.py,True,172,62,110
64151679,FNN,data/seed_programs/fnn/FNN_64151679_correct.py,True,266,156,110
64634468,FNN,data/seed_programs/fnn/FNN_64634468_correct.py,True,60,33,27
66468006,FNN,data/seed_programs/fnn/FNN_66468006_correct.py,True,56,29,27
66840108,FNN,data/seed_programs/fnn/FNN_66840108_correct.py,True,240,140,100
51971180,RNN,data/seed_programs/rnn/rnn_51971180_correct.py,True,4,0,4
51981187,RNN,data/seed_programs/rnn/rnn_51981187_correct.py,True,3,0,3
52782432,RNN,data/seed_programs/rnn/rnn_52782432_correct.py,True,209,99,110
61553510,RNN,data/seed_programs/rnn/rnn_61553510_correct.py,True,125,25,100
66907936,RNN,data/seed_programs/rnn/rnn_66907936_correct.py,True,107,60,47
66952606,RNN,data/seed_programs/rnn/rnn_66952606_correct.py,True,330,220,110
67155624,RNN,data/seed_programs/rnn/rnn_67155624_correct.py,True,180,70,110
67169344,RNN,data/seed_programs/rnn/rnn_67169344_correct.py,True,115,71,44
67590787,RNN,data/seed_programs/rnn/rnn_67590787_correct.py,True,402,292,110
67649606,RNN,data/seed_programs/rnn/rnn_67649606_correct.py,True,175,75,100
67727890,RNN,data/seed_programs/rnn/rnn_67727890_correct.py,True,416,306,110
68061611,RNN,data/seed_programs/rnn/rnn_68061611_correct.py,True,150,66,84
68103873,RNN,data/seed_programs/rnn/rnn_68103873_correct.py,True,200,90,110
68109005,RNN,data/seed_programs/rnn/rnn_68109005_correct.py,True,17,17,0
68323793,RNN,data/seed_programs/rnn/rnn_68323793_correct.py,True,13,3,10
68692047,RNN,data/seed_programs/rnn/rnn_68692047_correct.py,True,264,160,104
68716219,RNN,data/seed_programs/rnn/rnn_68716219_correct.py,True,665,555,110
69364684,RNN,data/seed_programs/rnn/rnn_69364684_correct.py,True,175,75,100
69906416,RNN,data/seed_programs/rnn/rnn_69906416_correct.py,True,175,75,100
70217712,RNN,data/seed_programs/rnn/rnn_70217712_correct.py,True,77,45,32
70406438,RNN,data/seed_programs/rnn/rnn_70406438_correct.py,True,466,361,105
70777445,RNN,data/seed_programs/rnn/rnn_70777445_correct.py,True,665,555,110
71251340,RNN,data/seed_programs/rnn/rnn_71251340_correct.py,True,323,218,105
71351646,RNN,data/seed_programs/rnn/rnn_71351646_correct.py,True,194,118,76
71494820,RNN,data/seed_programs/rnn/rnn_71494820_correct.py,True,153,75,78
72795591,RNN,data/seed_programs/rnn/rnn_72795591_correct.py,True,201,114,87
73148058,RNN,data/seed_programs/rnn/rnn_73148058_correct.py,True,406,296,110
73457069,RNN,data/seed_programs/rnn/rnn_73457069_correct.py,True,665,555,110
73765263,RNN,data/seed_programs/rnn/rnn_73765263_correct.py,True,332,222,110
77416892,RNN,data/seed_programs/rnn/rnn_77416892_correct.py,True,545,435,110
