epoch,train_loss,train_acc,val_loss,val_acc,large_weight_count,acc_gap_too_big,loss_oscillation,dying_relu,gradient_vanish,gradient_explode,decrease_acc_count,increase_loss_count,cons_mean_weight_count,cons_std_weight_count,nan_weight_count,nan_gradients_count,saturated_activation,mean_gradient,gradient_std,gradient_max,gradient_min,gradient_median,adjusted_lr,mean_activation,std_activation,mean_grad,std_grad,cpu_utilization,gpu_memory_utilization,memory_usage
0,0.25008106231689453,0.2800000011920929,0.2508370280265808,0.25,0,0,0,0,0,0,1,1,1,1,0,0,False,0.008426962,0.003164499,0.0119272005,0.0037651088,0.00900777,0.0009000000427477062,0.28758278,0.17251237,-0.002672897,0.0017934553,3.4,0.402587890625,8.6
1,0.2509070336818695,0.2800000011920929,0.2509269118309021,0.25,0,0,0,0,0,0,1,1,1,1,0,0,False,0.020670546,0.010089048,0.033084862,0.008928874,0.020334223,0.0008100000384729356,0.28784573,0.17134695,-0.015116854,0.0038892557,5.9,0.402587890625,8.6
2,0.25002428889274597,0.2800000011920929,0.25096073746681213,0.25,0,0,0,0,0,0,1,1,1,1,0,0,False,0.007589106,0.0024215581,0.009828026,0.0035369254,0.008495737,0.0007290000503417104,0.26353717,0.1677811,-0.010246217,0.003054178,5.9,0.402587890625,8.6
3,0.2489273101091385,0.2800000011920929,0.2509782016277313,0.25,0,0,0,0,0,0,1,1,1,1,0,0,False,0.009421811,0.0036854988,0.013222042,0.004263079,0.010101062,0.0006561000715009868,0.27561167,0.1664326,0.003855305,0.0023628734,5.9,0.402587890625,8.6
4,0.25078627467155457,0.2800000011920929,0.2510087788105011,0.25,0,0,0,0,0,0,1,1,1,1,0,0,False,0.008890548,0.0038641375,0.014200404,0.0037293877,0.0088162,0.0005904900433961303,0.2785458,0.17075524,0.0077062454,0.002718491,6.2,0.402587890625,8.6
5,0.2489583045244217,0.2800000011920929,0.25102415680885315,0.25,0,0,0,0,0,0,1,1,1,1,0,0,False,0.012178063,0.005109411,0.01778993,0.0046087676,0.013156777,0.0005314410547725857,0.29105118,0.17364438,0.0040360424,0.002348658,5.9,0.402587890625,8.6
6,0.24965211749076843,0.2800000011920929,0.2510248124599457,0.25,0,0,0,0,0,0,1,1,1,1,0,0,False,0.00339283,0.0013273899,0.005414335,0.0018818645,0.00313756,0.00047829695977270604,0.2930416,0.16761832,-0.009570852,0.001990917,6.1,0.402587890625,8.6
7,0.24858106672763824,0.2800000011920929,0.25107645988464355,0.25,0,0,0,0,0,0,1,1,1,1,0,0,False,0.003684184,0.0011804403,0.0055169603,0.002254933,0.0034824216,0.0004304672533180565,0.29011762,0.16577509,-0.0020726738,0.0014029173,5.9,0.402587890625,8.6
8,0.2503606975078583,0.2800000011920929,0.25110429525375366,0.25,0,0,0,0,0,0,1,1,1,1,0,0,False,0.011632139,0.005500841,0.018934857,0.0044129533,0.011590371,0.00038742052274756136,0.27762222,0.16795151,-0.015175444,0.0035670176,5.9,0.402587890625,8.6
9,0.24850964546203613,0.2800000011920929,0.2511526048183441,0.25,0,0,0,0,0,0,1,1,1,1,0,0,False,0.0127641335,0.0051492383,0.01801811,0.005578924,0.013729751,0.0003486784757114947,0.30025795,0.1676262,-0.012527612,0.00215213,5.9,0.402587890625,8.6
10,0.24931535124778748,0.2800000011920929,0.25123196840286255,0.25,0,0,0,0,0,0,1,1,1,1,0,0,False,0.017420398,0.008551354,0.027712198,0.007491734,0.01723883,0.00031381062290165574,0.29562744,0.16787568,-0.013895161,0.003015623,5.9,0.402587890625,8.6
11,0.24911268055438995,0.2800000011920929,0.2512534558773041,0.25,0,0,0,0,0,0,1,1,1,1,0,0,False,0.008373205,0.0028962314,0.010876926,0.0034897062,0.009563092,0.0002824295632308349,0.29003537,0.16977024,0.0024751304,0.0015647281,5.9,0.402587890625,8.6
12,0.24966415762901306,0.2800000011920929,0.2512577176094055,0.25,0,0,0,0,0,0,1,1,1,1,0,0,False,0.0028976651,0.0018811459,0.004822618,0.0002077754,0.0032801337,0.00025418660952709616,0.2919433,0.1661967,-0.004387343,0.0011780524,5.8,0.402587890625,8.6
13,0.24910250306129456,0.2800000011920929,0.2512586712837219,0.25,0,0,0,0,0,0,1,1,1,1,0,0,False,0.0052187378,0.0010491626,0.0064895544,0.0038142956,0.005285551,0.00022876793809700757,0.2832195,0.16637823,-0.0053644087,0.0017400507,5.9,0.402587890625,8.6
14,0.24925678968429565,0.2800000011920929,0.2512679100036621,0.25,0,0,0,0,0,0,1,1,1,1,0,0,False,0.015553119,0.006997453,0.023386706,0.006573612,0.01612608,0.00020589114428730683,0.28653115,0.16833082,-0.014291823,0.0033401935,5.9,0.402587890625,8.6
15,0.2477833777666092,0.2800000011920929,0.2512672543525696,0.25,0,0,0,0,0,0,1,1,1,1,0,0,False,0.013101313,0.00585285,0.018929502,0.005912482,0.013781635,0.00018530203378759326,0.286709,0.16849631,-0.00012538047,0.001329638,5.9,0.402587890625,8.6
16,0.2513137459754944,0.2800000011920929,0.2512487471103668,0.25,0,0,0,0,0,0,1,1,1,1,0,0,False,0.008015105,0.003333972,0.012645874,0.0036954645,0.00785954,0.00016677183302817866,0.28698063,0.17145516,0.006772028,0.0021856055,5.8,0.402587890625,8.6
17,0.2488815039396286,0.2800000011920929,0.2512188255786896,0.25,0,0,0,0,0,0,1,1,1,1,0,0,False,0.005069549,0.0010907088,0.006798498,0.0038048672,0.004837416,0.00015009464841568844,0.28498906,0.16746978,-0.0069775637,0.0021796953,5.8,0.402587890625,8.6
18,0.25037145614624023,0.2800000011920929,0.25122785568237305,0.25,0,0,0,0,0,0,1,1,1,1,0,0,False,0.005703823,0.0017485543,0.007589996,0.003926011,0.0056496426,0.0001350851875031367,0.29537538,0.16632898,-0.0058327094,0.0023741303,5.9,0.402587890625,8.6
19,0.24751633405685425,0.2800000011920929,0.2512292265892029,0.25,0,0,0,0,0,0,1,1,1,1,0,0,False,0.005011812,0.0008328243,0.005955899,0.0036743716,0.005208488,0.00012157666351413355,0.29731488,0.1714118,0.00037964812,0.0017034216,5.9,0.402587890625,8.6
20,0.25045114755630493,0.2800000011920929,0.25124067068099976,0.25,0,0,0,0,0,0,1,1,1,1,0,0,False,0.0132158715,0.006551204,0.021984559,0.005043257,0.012917834,0.00010941899454337544,0.27486408,0.1692484,-0.017955134,0.0038529881,5.9,0.402587890625,8.6
21,0.2497939169406891,0.2800000011920929,0.25126466155052185,0.25,0,0,0,0,0,0,1,1,1,1,0,0,False,0.0038936068,0.0019257149,0.0057502184,0.0006712074,0.0045765014,9.847709443420172e-05,0.3101927,0.16746542,-0.008522101,0.0011711288,5.9,0.402587890625,8.6
22,0.24864822626113892,0.2800000011920929,0.25129765272140503,0.25,0,0,0,0,0,0,1,1,1,1,0,0,False,0.004652858,0.0010008846,0.006353265,0.0039066277,0.004175769,8.862938630045391e-05,0.30566025,0.17103045,-0.002045404,0.0017428827,5.9,0.402587890625,8.6
23,0.24896834790706635,0.2800000011920929,0.2513369023799896,0.25,0,0,0,0,0,0,1,1,1,1,0,0,False,0.016436275,0.008128184,0.024522018,0.0044422187,0.01839043,7.976644701557234e-05,0.29459485,0.17191447,9.8081146e-05,0.0019214466,5.9,0.402587890625,8.6
24,0.249658465385437,0.2800000011920929,0.25135356187820435,0.25,0,0,0,0,0,0,1,1,1,1,0,0,False,0.0078161,0.0027270692,0.010796663,0.0035161737,0.0084757805,7.178980231401511e-05,0.29343456,0.17137815,-0.0255826,0.006749331,5.9,0.402587890625,8.6
25,0.24819731712341309,0.2800000011920929,0.25137582421302795,0.25,0,0,0,0,0,0,1,1,1,1,0,0,False,0.009096056,0.0042381096,0.014394861,0.0039843693,0.009002498,6.461082011810504e-05,0.27378166,0.16588582,-0.011350578,0.003648731,5.9,0.402587890625,8.6
26,0.24877327680587769,0.2800000011920929,0.2513886094093323,0.25,0,0,0,0,0,0,1,1,1,1,0,0,False,0.0032640495,0.0022380364,0.006013542,0.00031412378,0.0033642664,5.8149741380475466e-05,0.3008008,0.16824386,-0.0040455284,0.001466143,5.8,0.402587890625,8.6
27,0.24866707623004913,0.2800000011920929,0.2513911724090576,0.25,0,0,0,0,0,0,1,1,1,1,0,0,False,0.00964221,0.003600667,0.013062511,0.0040096757,0.010748327,5.233476658759173e-05,0.285312,0.165976,-0.00087215065,0.001145765,5.9,0.402587890625,8.6
28,0.24900680780410767,0.2800000011920929,0.251394122838974,0.25,0,0,0,0,0,0,1,1,1,1,0,0,False,0.0055378666,0.0013085685,0.006908775,0.0036165325,0.0058130794,4.7101289601414466e-05,0.31290203,0.16350298,-0.009808557,0.0021318232,5.8,0.402587890625,8.6
29,0.24865181744098663,0.2800000011920929,0.2513999044895172,0.25,0,0,0,0,0,0,1,1,1,1,0,0,False,0.010970319,0.0048330007,0.0165728,0.0044917767,0.0114083495,4.239116096869111e-05,0.29404604,0.16771013,-0.014513546,0.0034153676,5.9,0.402587890625,8.6
30,0.24931181967258453,0.2800000011920929,0.2514076828956604,0.25,0,0,0,0,0,0,1,1,1,1,0,0,False,0.0083664805,0.0029832916,0.011631682,0.003605237,0.009114502,3.815204618149437e-05,0.29160047,0.16959098,-0.003925385,0.003026078,5.9,0.402587890625,8.6
31,0.24894088506698608,0.2800000011920929,0.25141048431396484,0.25,0,0,0,0,0,0,1,1,1,1,0,0,False,0.006167536,0.0015662989,0.007807123,0.003583703,0.0066396594,3.4336842873017304e-05,0.28468925,0.16433743,0.008046646,0.002730091,5.9,0.402587890625,8.6
32,0.24909670650959015,0.2800000011920929,0.2514140009880066,0.25,0,0,0,0,0,0,1,1,1,1,0,0,False,0.0032883582,0.0016135009,0.0048300168,0.000840554,0.003741431,3.0903160222806036e-05,0.31738168,0.1659425,-0.008224085,0.0016612244,5.9,0.402587890625,8.6
33,0.24859441816806793,0.2800000011920929,0.2514170706272125,0.25,0,0,0,0,0,0,1,1,1,1,0,0,False,0.004524771,0.0017494722,0.007500026,0.0031109718,0.0037440434,2.7812844200525434e-05,0.31084839,0.16502874,0.00015467328,0.0014310888,5.9,0.402587890625,8.6
34,0.2488468587398529,0.2800000011920929,0.2514196038246155,0.25,0,0,0,0,0,0,1,1,1,1,0,0,False,0.0056958133,0.0017141786,0.00789974,0.0036264258,0.005628543,2.5031560107890984e-05,0.28897518,0.16954145,0.006599581,0.0024247272,5.9,0.402587890625,8.6
35,0.24870872497558594,0.2800000011920929,0.251422256231308,0.25,0,0,0,0,0,0,1,1,1,1,0,0,False,0.018345866,0.008384899,0.027959049,0.007930448,0.018746983,2.2528404588229024e-05,0.29181722,0.16678002,-0.01704836,0.0050084125,6.0,0.402587890625,8.6
36,0.24981814622879028,0.2800000011920929,0.25142568349838257,0.25,0,0,0,0,0,0,1,1,1,1,0,0,False,0.004916799,0.0016104439,0.0069506364,0.0027622383,0.004977161,2.0275563474569936e-05,0.28891647,0.16730303,0.0028716784,0.0014125549,5.9,0.402587890625,8.6
37,0.2490822821855545,0.2800000011920929,0.2514292597770691,0.25,0,0,0,0,0,0,1,1,1,1,0,0,False,0.008991012,0.0036688757,0.012718248,0.004049791,0.009598004,1.8248007290821987e-05,0.28215325,0.1642724,-0.015001724,0.004526188,5.9,0.402587890625,8.6
38,0.24976150691509247,0.2800000011920929,0.2514326572418213,0.25,0,0,0,0,0,0,1,1,1,1,0,0,False,0.010400055,0.00481618,0.015923033,0.0044808337,0.010598177,1.6423206398030745e-05,0.2921218,0.169291,-0.0123765515,0.002793789,5.9,0.402587890625,8.6
39,0.2489936351776123,0.2800000011920929,0.2514355182647705,0.25,0,0,0,0,0,0,1,1,1,1,0,0,False,0.0073825447,0.0023383806,0.0094271675,0.0035882138,0.008257398,1.4780885430809576e-05,0.29358715,0.16812523,0.005473245,0.00292299,5.8,0.402587890625,8.6
40,0.24966880679130554,0.2800000011920929,0.25143852829933167,0.25,0,0,0,0,0,0,1,1,1,1,0,0,False,0.0117971245,0.0050649703,0.018132554,0.004133419,0.012461262,1.3302796560310526e-05,0.30714303,0.16428854,0.0139879435,0.0035935792,5.9,0.402587890625,8.6
41,0.2494591772556305,0.2800000011920929,0.25143954157829285,0.25,0,0,0,0,0,0,1,1,1,1,0,0,False,0.0027219877,0.0016866715,0.0050776363,0.0006941525,0.0025580805,1.1972517313552089e-05,0.28369886,0.16541678,0.0028764124,0.0015462881,5.9,0.402587890625,8.6
42,0.2512916624546051,0.2800000011920929,0.2514413297176361,0.25,0,0,0,0,0,0,1,1,1,1,0,0,False,0.008692491,0.003768217,0.012696232,0.003590205,0.0092417635,1.077526558219688e-05,0.28641376,0.1701237,0.00665753,0.002795265,5.9,0.402587890625,8.6
43,0.24896140396595,0.2800000011920929,0.25144270062446594,0.25,0,0,0,0,0,0,1,1,1,1,0,0,False,0.0054215854,0.0011146903,0.0064588315,0.003740757,0.0057433774,9.697739187686238e-06,0.29980725,0.16696832,-0.0054711914,0.0019412762,5.9,0.402587890625,8.6
