epoch,train_loss,train_acc,val_loss,val_acc,large_weight_count,acc_gap_too_big,loss_oscillation,dying_relu,gradient_vanish,gradient_explode,decrease_acc_count,increase_loss_count,cons_mean_weight_count,cons_std_weight_count,nan_weight_count,nan_gradients_count,saturated_activation,mean_gradient,gradient_std,gradient_max,gradient_min,gradient_median,adjusted_lr,mean_activation,std_activation,mean_grad,std_grad,cpu_utilization,gpu_memory_utilization,memory_usage
0,0.5337070822715759,0.5290697813034058,0.4128116965293884,1.0,0,1,0,0,0,0,1,1,1,1,0,0,False,0.49571842,0.8011759,2.5850012,0.032572664,0.17660347,0.0009000000427477062,0.08876617,0.34552863,-0.0023158658,0.026365813,2.2,832.831787109375,10.2
1,0.3596664071083069,1.0,0.3576968014240265,1.0,0,0,1,0,1,0,1,1,1,1,0,0,False,0.20489293,0.16297023,0.5850492,0.040016823,0.13844761,0.0008100000384729356,0.09815569,0.5532857,-0.002522421,0.019066898,3.6,832.831787109375,10.2
2,0.3456903398036957,1.0,0.34658628702163696,1.0,0,0,1,0,1,0,1,1,1,1,0,0,False,0.09917657,0.04450622,0.16731621,0.03485821,0.09252776,0.0007290000503417104,0.10705104,0.6934567,-0.0018265536,0.021782165,3.8,832.831787109375,10.2
3,0.34021568298339844,1.0,0.3422408998012543,1.0,0,0,0,0,1,0,1,1,1,1,0,0,False,0.074860916,0.04984762,0.1689258,0.020409716,0.058344238,0.0006561000715009868,0.11216815,0.80394423,-0.0013554605,0.022028683,3.8,832.831787109375,10.2
4,0.34057021141052246,1.0,0.33913496136665344,1.0,0,0,0,0,1,0,1,1,1,1,0,0,False,0.08227375,0.06008793,0.17333128,0.012598621,0.06966802,0.0005904900433961303,0.11492838,0.8598533,-0.0018197598,0.018336032,3.8,832.831787109375,10.2
5,0.3456514775753021,1.0,0.33631736040115356,1.0,0,0,0,0,1,0,1,1,1,1,0,0,False,0.07987034,0.060497202,0.17747204,0.011179126,0.07915504,0.0005314410547725857,0.11986223,0.87862825,-0.0023236205,0.022579947,3.8,832.831787109375,10.2
6,0.34356486797332764,1.0,0.33355632424354553,1.0,0,0,0,0,1,0,1,1,1,1,0,0,False,0.08404286,0.06268748,0.1762079,0.011993431,0.09323249,0.00047829695977270604,0.11996369,0.89963573,-0.002018412,0.020440903,3.8,832.831787109375,10.2
7,0.32530471682548523,1.0,0.33077558875083923,1.0,0,0,1,0,1,0,1,1,1,1,0,0,False,0.08723791,0.06536815,0.16669317,0.011540494,0.09669924,0.0004304672533180565,0.12015486,0.9063021,-0.0030246985,0.02522223,3.8,832.831787109375,10.2
8,0.34038659930229187,1.0,0.3278193771839142,1.0,0,0,1,0,1,0,1,1,1,1,0,0,False,0.1017295,0.07673963,0.19422565,0.0107358815,0.10938467,0.00038742052274756136,0.12018688,0.9334872,-0.0016294426,0.021748073,3.8,832.831787109375,10.2
9,0.30261802673339844,1.0,0.32463008165359497,1.0,0,0,1,0,1,0,1,1,1,1,0,0,False,0.09652132,0.07085953,0.18860799,0.012038601,0.103554,0.0003486784757114947,0.121445,0.94152194,-0.0025570223,0.01865818,3.8,832.831787109375,10.2
10,0.3106807768344879,1.0,0.321272075176239,1.0,0,0,0,0,1,0,1,1,1,1,0,0,False,0.11096458,0.08412261,0.23407207,0.011537125,0.11613357,0.00031381062290165574,0.121600255,0.9428687,-0.0028513896,0.022826083,3.8,832.831787109375,10.2
11,0.30866050720214844,1.0,0.3176442086696625,1.0,0,0,0,0,1,0,1,1,1,1,0,0,False,0.121278465,0.096145935,0.2619107,0.011219437,0.11865772,0.0002824295632308349,0.12416391,0.9291307,-0.0036820143,0.0242221,3.8,832.831787109375,10.2
12,0.30933183431625366,1.0,0.3136289119720459,1.0,0,0,0,0,1,0,1,1,1,1,0,0,False,0.13212317,0.106317796,0.29984233,0.010822892,0.12841389,0.00025418660952709616,0.12556382,0.95516354,-0.0037460134,0.023732804,3.7,832.831787109375,10.2
13,0.30866286158561707,1.0,0.3093281388282776,1.0,0,0,0,0,1,0,1,1,1,1,0,0,False,0.14540225,0.11844852,0.33582678,0.010435277,0.14286342,0.00022876793809700757,0.12282481,0.9514991,-0.0033105593,0.022464382,3.7,832.831787109375,10.2
14,0.3024972081184387,1.0,0.3047623932361603,1.0,0,0,0,0,1,0,1,1,1,1,0,0,False,0.15043649,0.13029556,0.3646272,0.010426761,0.12824231,0.00020589114428730683,0.12506595,0.9318419,-0.0046965973,0.028611034,3.7,832.831787109375,10.2
15,0.299805223941803,1.0,0.299983948469162,1.0,0,0,0,0,1,0,1,1,1,1,0,0,False,0.16251779,0.14080659,0.39788362,0.0102532,0.14165607,0.00018530203378759326,0.12630817,0.9599564,-0.0029501552,0.024315357,3.8,832.831787109375,10.2
16,0.3112558424472809,1.0,0.2950977683067322,1.0,0,0,1,0,1,0,1,1,1,1,0,0,False,0.18409522,0.16350177,0.46118173,0.009402098,0.1509143,0.00016677183302817866,0.12510082,0.96149737,-0.003513268,0.029258788,3.8,832.831787109375,10.2
17,0.29016169905662537,1.0,0.2901233732700348,1.0,0,0,1,0,1,0,1,1,1,1,0,0,False,0.17809331,0.15779123,0.4492864,0.010230647,0.13661912,0.00015009464841568844,0.1267451,0.94064265,-0.0048302347,0.025843598,3.8,832.831787109375,10.2
18,0.28169986605644226,1.0,0.28509634733200073,1.0,0,0,0,0,1,0,1,1,1,1,0,0,False,0.18528453,0.16575848,0.47102126,0.010263283,0.13357425,0.0001350851875031367,0.12645553,0.94363093,-0.0059749912,0.031333596,3.9,832.831787109375,10.2
19,0.27348798513412476,1.0,0.2800353467464447,1.0,0,0,0,0,1,0,1,1,1,1,0,0,False,0.19061083,0.17294785,0.49027798,0.010290537,0.13087171,0.00012157666351413355,0.12776518,0.9663967,-0.005507032,0.030309193,3.9,832.831787109375,10.2
20,0.28308093547821045,1.0,0.2750997543334961,1.0,0,0,0,0,1,0,1,1,1,1,0,0,False,0.21035144,0.19304587,0.5424422,0.009568588,0.13768826,0.00010941899454337544,0.12735716,0.9426474,-0.0058740033,0.03434245,3.8,832.831787109375,10.2
21,0.2672469913959503,1.0,0.2704097628593445,1.0,0,0,1,0,1,0,1,1,1,1,0,0,False,0.20667103,0.190286,0.53615195,0.010009555,0.1295371,9.847709443420172e-05,0.128348,0.942575,-0.0050668553,0.025991883,3.7,832.831787109375,10.2
22,0.2762410342693329,1.0,0.26598116755485535,1.0,0,0,0,0,1,0,1,1,1,1,0,0,False,0.22604543,0.20874092,0.58861995,0.009362897,0.13600716,8.862938630045391e-05,0.12808225,0.96647334,-0.008030562,0.038434915,3.8,832.831787109375,10.2
23,0.26067933440208435,1.0,0.26180148124694824,1.0,0,0,1,0,1,0,1,1,1,1,0,0,False,0.21962106,0.20337643,0.5744518,0.009839861,0.12775007,7.976644701557234e-05,0.12636295,0.9433821,-0.0060405033,0.029782748,3.7,832.831787109375,10.2
24,0.2618161141872406,1.0,0.25782254338264465,1.0,0,0,0,0,1,0,1,1,1,1,0,0,False,0.22875094,0.21418864,0.6020391,0.009573624,0.12935297,7.178980231401511e-05,0.1274713,0.9473015,-0.0066025644,0.033959437,3.8,832.831787109375,10.2
25,0.2427888959646225,1.0,0.2540586292743683,1.0,0,0,1,0,1,0,1,1,1,1,0,0,False,0.21758741,0.2026705,0.570874,0.010224431,0.11893078,6.461082011810504e-05,0.12796831,0.9478148,-0.0058096605,0.030768257,3.8,832.831787109375,10.2
26,0.2593194246292114,1.0,0.2505922019481659,1.0,0,0,1,0,1,0,1,1,1,1,0,0,False,0.24132726,0.22508223,0.6348347,0.009347658,0.12869939,5.8149741380475466e-05,0.13028248,0.9530374,-0.007139698,0.03371954,3.9,832.831787109375,10.2
27,0.2368645817041397,1.0,0.2473204880952835,1.0,0,0,1,0,1,0,1,1,1,1,0,0,False,0.2235029,0.20972921,0.5912073,0.010178399,0.116622776,5.233476658759173e-05,0.12852493,0.9698164,-0.0055411113,0.03350404,3.8,832.831787109375,10.2
28,0.2610614001750946,1.0,0.24432611465454102,1.0,0,0,1,0,1,0,1,1,1,1,0,0,False,0.25749636,0.241678,0.68113524,0.008886575,0.13158324,4.7101289601414466e-05,0.1276078,0.9709897,-0.0047153775,0.037408076,3.7,832.831787109375,10.2
29,0.23590633273124695,1.0,0.24153730273246765,1.0,0,0,1,0,1,0,1,1,1,1,0,0,False,0.23016547,0.21583486,0.60861325,0.010074502,0.115211576,4.239116096869111e-05,0.13057715,0.95518845,-0.005371479,0.027243573,3.9,832.831787109375,10.2
30,0.2344946712255478,1.0,0.23896221816539764,1.0,0,0,0,0,1,0,1,1,1,1,0,0,False,0.23229662,0.21817948,0.61503583,0.010048421,0.11513993,3.815204618149437e-05,0.1290048,0.95253086,-0.005586819,0.030080719,3.8,832.831787109375,10.2
31,0.2354556918144226,1.0,0.2365902215242386,1.0,0,0,0,0,1,0,1,1,1,1,0,0,False,0.24266538,0.227812,0.6431265,0.009702583,0.11989544,3.4336842873017304e-05,0.12850626,0.9729701,-0.007271664,0.038564995,3.8,832.831787109375,10.2
32,0.23542273044586182,1.0,0.23439601063728333,1.0,0,0,0,0,1,0,1,1,1,1,0,0,False,0.24706143,0.23159698,0.6536223,0.009591376,0.12164377,3.0903160222806036e-05,0.12882648,0.9519123,-0.0063608172,0.029023012,3.8,832.831787109375,10.2
33,0.21825098991394043,1.0,0.23240555822849274,1.0,0,0,1,0,1,0,1,1,1,1,0,0,False,0.22587158,0.21202214,0.5998891,0.0104576005,0.11091465,2.7812844200525434e-05,0.13086621,0.95714104,-0.005519193,0.029316042,3.8,832.831787109375,10.2
34,0.23717404901981354,1.0,0.23060689866542816,1.0,0,0,1,0,1,0,1,1,1,1,0,0,False,0.25676847,0.24086557,0.68042827,0.009307169,0.12588093,2.5031560107890984e-05,0.13073139,0.95345056,-0.006763958,0.03185562,3.7,832.831787109375,10.2
