epoch,train_loss,train_acc,val_loss,val_acc,large_weight_count,acc_gap_too_big,loss_oscillation,dying_relu,gradient_vanish,gradient_explode,decrease_acc_count,increase_loss_count,cons_mean_weight_count,cons_std_weight_count,nan_weight_count,nan_gradients_count,saturated_activation,mean_gradient,gradient_std,gradient_max,gradient_min,gradient_median,adjusted_lr,mean_activation,std_activation,mean_grad,std_grad,cpu_utilization,gpu_memory_utilization,memory_usage
0,0.6925654411315918,0.0,0.6958699226379395,0.0,0,0,0,0,1,0,1,1,1,1,0,0,False,0.025717571,0.013435485,0.046309214,0.014705233,0.017253445,0.04500000067055226,0.17851509,0.02452522,7.149894e-05,0.0012256037,4.7,8867.73388671875,10.4
1,0.6890539526939392,0.0,0.697589099407196,0.0,0,0,0,0,1,0,1,1,1,1,0,0,False,0.030239241,0.015539988,0.05355095,0.017640553,0.020345349,0.04050000160932541,0.17708975,0.027701965,5.4704506e-05,0.0016785486,6.1,8867.73388671875,10.4
2,0.6873612999916077,0.019999999552965164,0.7003075480461121,0.0,0,0,0,0,1,0,1,1,1,1,0,0,False,0.024566198,0.013225542,0.044691782,0.01381462,0.01649256,0.03645000010728836,0.17673908,0.031716865,3.9616196e-05,0.0014566523,6.1,8867.73388671875,10.4
3,0.684674859046936,0.019999999552965164,0.7029565572738647,0.0,0,0,0,0,1,0,1,1,1,1,0,0,False,0.01880991,0.010537684,0.035369605,0.0097674625,0.012379643,0.03280499875545502,0.17740177,0.036138352,-1.1793233e-05,0.00052122073,6.3,8867.73388671875,10.5
4,0.6830604076385498,0.03999999910593033,0.7050681114196777,0.0,0,0,0,0,1,0,1,1,1,1,0,0,False,0.021997638,0.011875663,0.040676326,0.011835706,0.015016239,0.02952449955046177,0.17838603,0.039507296,0.00040641136,0.0015327918,5.6,8867.73388671875,10.4
5,0.6827184557914734,0.029999999329447746,0.705778956413269,0.07999999821186066,0,0,0,0,1,0,1,1,1,1,0,0,False,0.033149444,0.015818898,0.056398347,0.020722445,0.02327669,0.026572049595415592,0.17915462,0.041306857,-6.181537e-05,0.0015976784,6.2,8867.73388671875,10.4
6,0.6806789636611938,0.14000000059604645,0.7055659294128418,0.07999999821186066,0,0,0,0,1,0,1,1,1,1,0,0,False,0.019805716,0.010572161,0.036050346,0.010373282,0.013751962,0.023914843797683716,0.17983867,0.042292953,0.0002862972,0.0014171604,6.3,8867.73388671875,10.5
7,0.6802921891212463,0.25999999046325684,0.7050053477287292,0.07999999821186066,0,1,0,0,1,0,1,1,1,1,0,0,False,0.0252302,0.013052696,0.044640366,0.013911704,0.017806834,0.021523359417915344,0.18039726,0.04203206,5.8347734e-05,0.00039682662,5.3,8867.73388671875,10.4
8,0.677862286567688,0.3499999940395355,0.7049151062965393,0.07999999821186066,0,1,0,0,1,0,1,1,1,1,0,0,False,0.016580338,0.009776838,0.031414565,0.0069097416,0.011296421,0.019371024146676064,0.1804878,0.04199487,0.00013087818,0.0004533882,6.0,8867.73388671875,10.4
9,0.6788009405136108,0.2800000011920929,0.7048618197441101,0.07999999821186066,0,1,0,0,1,0,1,1,1,1,0,0,False,0.022034736,0.011453451,0.039069097,0.011850087,0.015301522,0.017433921061456203,0.18009233,0.04216333,0.00017220817,0.0016097376,6.0,8867.73388671875,10.4
10,0.6777803301811218,0.2800000011920929,0.7045695781707764,0.07999999821186066,0,1,0,0,1,0,1,1,1,1,0,0,False,0.028287522,0.013429568,0.04767579,0.017255545,0.020202484,0.01569052878767252,0.17975128,0.042424243,-3.3146283e-05,0.0017356569,6.3,8867.73388671875,10.5
11,0.6771290302276611,0.25999999046325684,0.7047224640846252,0.07999999821186066,0,1,0,0,1,0,1,1,1,1,0,0,False,0.030999832,0.014105053,0.051115878,0.019571649,0.022499135,0.014121475070714951,0.1797816,0.043035198,1.9837787e-05,0.00032408946,5.3,8867.73388671875,10.4
12,0.6762335896492004,0.23999999463558197,0.7047754526138306,0.07999999821186066,0,1,0,0,1,0,1,1,1,1,0,0,False,0.02835579,0.014185362,0.049106468,0.015744757,0.020145915,0.01270932722836733,0.17982863,0.043129247,2.071278e-05,0.0003632321,6.1,8867.73388671875,10.4
13,0.6755842566490173,0.20000000298023224,0.7047901749610901,0.07999999821186066,0,1,0,0,1,0,1,1,1,1,0,0,False,0.029146986,0.014159519,0.049525026,0.01688649,0.020831384,0.011438394337892533,0.17956154,0.043859597,1.7755787e-06,0.00029625196,6.1,8867.73388671875,10.5
14,0.6758235692977905,0.14000000059604645,0.7046825289726257,0.07999999821186066,0,0,0,0,1,0,1,1,1,1,0,0,False,0.033743892,0.015639748,0.056176666,0.020574331,0.024380643,0.010294554568827153,0.17928289,0.0436684,-0.00017456262,0.0017333091,5.5,8867.73388671875,10.4
15,0.674567699432373,0.09000000357627869,0.7045325636863708,0.07999999821186066,0,0,0,0,1,0,1,1,1,1,0,0,False,0.026557714,0.013371867,0.045856413,0.014512286,0.018840875,0.0092650992795825,0.17948043,0.043566972,-0.00022507225,0.0017752344,6.2,8867.73388671875,10.4
16,0.6737825274467468,0.14000000059604645,0.7045974731445312,0.07999999821186066,0,0,0,0,1,0,1,1,1,1,0,0,False,0.03228136,0.015476106,0.054645687,0.01892638,0.023401253,0.008338589686900377,0.17965472,0.04317126,-4.2243686e-05,0.0017286222,6.1,8867.841552734375,10.4
17,0.6728558540344238,0.12999999523162842,0.704505443572998,0.07999999821186066,0,0,0,0,1,0,1,1,1,1,0,0,False,0.030138971,0.015688451,0.053055752,0.015596496,0.021339227,0.007504730299115181,0.1796728,0.042650666,-4.542794e-05,0.0015352741,6.1,8867.841552734375,10.4
18,0.6735894083976746,0.07999999821186066,0.7041893005371094,0.07999999821186066,0,0,0,0,1,0,1,1,1,1,0,0,False,0.028348776,0.01462861,0.05012356,0.015316994,0.020132383,0.0067542574368417265,0.17947443,0.04214449,0.00017537166,0.0013188127,5.5,8867.841552734375,10.4
19,0.6723259687423706,0.12999999523162842,0.7037563920021057,0.07999999821186066,0,0,0,0,1,0,1,1,1,1,0,0,False,0.036226384,0.017485566,0.061741624,0.02094555,0.026092757,0.006078831525519491,0.17932673,0.04172641,-1.4025446e-05,0.0016756635,6.3,8867.841552734375,10.4
20,0.671999990940094,0.15000000596046448,0.7036689519882202,0.07999999821186066,0,0,0,0,1,0,1,1,1,1,0,0,False,0.03177765,0.015356912,0.054163776,0.01852421,0.022565566,0.005470948247238994,0.17944853,0.041655365,-0.00011901645,0.0011196113,6.1,8867.841552734375,10.4
21,0.6713287234306335,0.17000000178813934,0.703613817691803,0.07999999821186066,0,0,0,0,1,0,1,1,1,1,0,0,False,0.027893597,0.0139448615,0.048546888,0.015066481,0.020041773,0.0049238534644246105,0.17955433,0.041457426,-0.00021710208,0.0015209586,5.5,8867.841552734375,10.4
22,0.6718899011611938,0.14000000059604645,0.7036585807800293,0.07999999821186066,0,0,0,0,1,0,1,1,1,1,0,0,False,0.030990245,0.01509593,0.052735727,0.017836267,0.022168986,0.004431468201801181,0.17985962,0.041779067,4.046524e-05,0.0018761951,6.2,8867.841552734375,10.4
23,0.6711581945419312,0.20999999344348907,0.7036979794502258,0.11999999731779099,0,0,0,0,1,0,1,1,1,1,0,0,False,0.02361398,0.013003201,0.043069657,0.011092293,0.01658844,0.003988321591168642,0.18001951,0.042215228,-5.9280388e-05,0.0013249362,6.3,8867.841552734375,10.4
24,0.6708542108535767,0.1899999976158142,0.7036787271499634,0.11999999731779099,0,0,0,0,1,0,1,1,1,1,0,0,False,0.021579782,0.0130015295,0.041507248,0.008409688,0.0153805725,0.0035894892644137144,0.18011613,0.042540614,2.5916097e-05,0.0010845336,5.5,8867.841552734375,10.4
25,0.6715120077133179,0.20000000298023224,0.7035590410232544,0.11999999731779099,0,0,0,0,1,0,1,1,1,1,0,0,False,0.035999697,0.017249605,0.06055877,0.020895582,0.026250172,0.003230540337972343,0.18028867,0.04265162,0.0003894279,0.0013860877,5.7,8867.841552734375,10.4
26,0.6710924506187439,0.2199999988079071,0.7034838795661926,0.11999999731779099,0,1,0,0,1,0,1,1,1,1,0,0,False,0.025480961,0.0135085555,0.04560561,0.012688074,0.018037947,0.0029074862832203507,0.18026185,0.04266821,0.00010961795,0.0015310232,6.4,8867.841552734375,10.4
27,0.671180784702301,0.20000000298023224,0.7034459114074707,0.11999999731779099,0,0,0,0,1,0,1,1,1,1,0,0,False,0.035659958,0.01698066,0.059770368,0.020704923,0.025799697,0.0026167375501245263,0.18029082,0.042535465,4.6329635e-05,0.0016243696,6.4,8867.841552734375,10.4
28,0.6697540283203125,0.2199999988079071,0.7034534215927124,0.11999999731779099,0,1,0,0,1,0,1,1,1,1,0,0,False,0.018932233,0.010992013,0.035383765,0.007975333,0.013290055,0.0023550637532025577,0.18040194,0.04296608,8.399666e-05,0.0013287413,5.6,8867.841552734375,10.4
29,0.6710105538368225,0.23999999463558197,0.7035301327705383,0.11999999731779099,0,1,0,0,1,0,1,1,1,1,0,0,False,0.026693746,0.014849568,0.049433216,0.012650958,0.018740632,0.002119557419791818,0.18037288,0.042842623,0.00032554963,0.00087516237,6.3,8867.841552734375,10.4
30,0.6705513596534729,0.25,0.7035918235778809,0.11999999731779099,0,1,0,0,1,0,1,1,1,1,0,0,False,0.032168243,0.015751595,0.05505037,0.017975595,0.02338527,0.0019076017197221518,0.18035573,0.043052632,-0.00012834194,0.0014422502,6.2,8867.841552734375,10.4
31,0.6703271269798279,0.23999999463558197,0.7036486864089966,0.11999999731779099,0,1,0,0,1,0,1,1,1,1,0,0,False,0.024413394,0.012989107,0.04384548,0.012473782,0.017244468,0.0017168415477499365,0.18041323,0.043186963,0.00028657337,0.0016612272,6.1,8867.841552734375,10.3
32,0.670232892036438,0.20999999344348907,0.7036575078964233,0.11999999731779099,0,0,0,0,1,0,1,1,1,1,0,0,False,0.018871186,0.010975234,0.035458904,0.007860475,0.013243307,0.0015451574348844589,0.18039012,0.043208826,-0.0002139128,0.0015432794,5.5,8867.841552734375,10.3
33,0.6698779463768005,0.2800000011920929,0.7036392688751221,0.11999999731779099,0,1,0,0,1,0,1,1,1,1,0,0,False,0.023350388,0.01324328,0.043027177,0.010217919,0.016551493,0.001390641659963876,0.1803224,0.043279964,7.7956625e-05,0.001579929,6.2,8867.841552734375,10.3
34,0.6701477766036987,0.20000000298023224,0.7036402225494385,0.11999999731779099,0,0,0,0,1,0,1,1,1,1,0,0,False,0.028197644,0.014782168,0.050224975,0.014378974,0.020032551,0.0012515775044448674,0.18035972,0.0433266,3.5312274e-05,0.0014438139,6.1,8867.841552734375,10.4
35,0.6702584624290466,0.23000000417232513,0.7036531567573547,0.11999999731779099,0,1,0,0,1,0,1,1,1,1,0,0,False,0.031186836,0.01547196,0.054092526,0.017483633,0.022637673,0.0011264197644777596,0.1803435,0.043407787,-7.0126414e-05,0.002027741,5.4,8867.841552734375,10.3
36,0.6699000000953674,0.23000000417232513,0.7036786079406738,0.11999999731779099,0,1,0,0,1,0,1,1,1,1,0,0,False,0.023407996,0.012648949,0.04233953,0.011033759,0.016663786,0.0010137777775526048,0.18033434,0.043605,-0.00029727217,0.001338557,6.1,8867.841552734375,10.3
37,0.6703793406486511,0.23000000417232513,0.703686535358429,0.11999999731779099,0,1,0,0,1,0,1,1,1,1,0,0,False,0.03706453,0.017172921,0.061110158,0.022118887,0.02744353,0.0009124000207521021,0.18033111,0.043586373,-6.798423e-05,0.0013463426,6.1,8867.841552734375,10.4
38,0.6700685620307922,0.25,0.7037069201469421,0.11999999731779099,0,1,0,0,1,0,1,1,1,1,0,0,False,0.023355918,0.012896729,0.042775612,0.010875715,0.016503483,0.000821160018676892,0.18057247,0.043693315,-0.00019043905,0.0012902323,5.6,8867.841552734375,10.3
39,0.6698938012123108,0.2800000011920929,0.7037307620048523,0.11999999731779099,0,1,0,0,1,0,1,1,1,1,0,0,False,0.02859611,0.013874329,0.048385598,0.01604505,0.020847425,0.0007390440325252712,0.1804133,0.04361837,-0.0004457758,0.0016095117,6.1,8867.841552734375,10.4
40,0.6693323254585266,0.25999999046325684,0.7037655711174011,0.11999999731779099,0,1,0,0,1,0,1,1,1,1,0,0,False,0.020264266,0.011179088,0.036691815,0.009561921,0.014250811,0.000665139639750123,0.18057579,0.043666255,-5.4533477e-05,0.0013617749,6.1,8867.841552734375,10.4
41,0.6702522039413452,0.2800000011920929,0.7037851214408875,0.11999999731779099,0,1,0,0,1,0,1,1,1,1,0,0,False,0.024414489,0.013270781,0.044205476,0.011747719,0.017547604,0.0005986256757751108,0.1804093,0.043569475,-2.2848355e-05,0.0016404524,6.2,8867.841552734375,10.4
42,0.669455885887146,0.27000001072883606,0.7037846446037292,0.11999999731779099,0,1,0,0,1,0,1,1,1,1,0,0,False,0.035456855,0.0165067,0.05866946,0.021224886,0.025887357,0.0005387631186749786,0.18045308,0.043659482,-9.621739e-05,0.0018240005,5.5,8867.841552734375,10.4
43,0.6696551442146301,0.28999999165534973,0.7037861347198486,0.11999999731779099,0,1,0,0,1,0,1,1,1,1,0,0,False,0.024164662,0.012848011,0.043495905,0.012079168,0.017238967,0.00048488681204617023,0.18045647,0.043816295,-0.00023247961,0.0014374433,6.1,8867.841552734375,10.4
44,0.6694198250770569,0.23000000417232513,0.7037707567214966,0.11999999731779099,0,1,0,0,1,0,1,1,1,1,0,0,False,0.019498968,0.010880678,0.035637632,0.00881579,0.013948529,0.0004363981308415532,0.18056811,0.043679345,2.649382e-05,0.000300194,6.2,8867.841552734375,10.4
45,0.6694921255111694,0.2800000011920929,0.7037541270256042,0.11999999731779099,0,1,0,0,1,0,1,1,1,1,0,0,False,0.022841895,0.012925773,0.04191872,0.010100274,0.016340734,0.00039275832823477687,0.18038966,0.043623656,0.00011670008,0.0009829985,5.2,8867.841552734375,10.3
46,0.6700215339660645,0.30000001192092896,0.7037403583526611,0.11999999731779099,0,1,0,0,1,0,1,1,1,1,0,0,False,0.028444862,0.013683238,0.047896445,0.016012685,0.020700641,0.00035348248493392024,0.18041824,0.04344843,0.00023430237,0.0018018996,6.3,8867.841552734375,10.3
47,0.6696458458900452,0.23000000417232513,0.703737199306488,0.11999999731779099,0,1,0,0,1,0,1,1,1,1,0,0,False,0.02245368,0.012244843,0.040609438,0.010756581,0.015897185,0.0003181342442985624,0.18060143,0.04362298,4.5509343e-05,0.0012364046,6.3,8867.841552734375,10.3
48,0.6699621677398682,0.3100000023841858,0.7037396430969238,0.11999999731779099,0,1,0,0,1,0,1,1,1,1,0,0,False,0.029705351,0.014459894,0.050296765,0.016497845,0.021447625,0.0002863208093913272,0.18032694,0.043534998,0.00024776364,0.0018559276,6.1,8867.841552734375,10.3
49,0.6695844531059265,0.25,0.703748881816864,0.11999999731779099,0,1,0,0,1,0,1,1,1,1,0,0,False,0.027016344,0.013064742,0.045607436,0.0153752,0.019935347,0.0002576887258328498,0.18039627,0.043753173,-6.3989937e-06,0.0013083933,5.7,8867.841552734375,10.4
