epoch,train_loss,train_acc,val_loss,val_acc,large_weight_count,acc_gap_too_big,loss_oscillation,dying_relu,gradient_vanish,gradient_explode,decrease_acc_count,increase_loss_count,cons_mean_weight_count,cons_std_weight_count,nan_weight_count,nan_gradients_count,saturated_activation,mean_gradient,gradient_std,gradient_max,gradient_min,gradient_median,adjusted_lr,mean_activation,std_activation,mean_grad,std_grad,cpu_utilization,gpu_memory_utilization,memory_usage
0,7.125175952911377,0.10700000077486038,7.097155570983887,0.10000000149011612,0,0,0,0,0,0,1,1,1,1,0,0,False,2.5960634,2.2467887,7.770975,0.58735836,1.6541855,0.0009000000427477062,0.014527427,0.10633113,0.055377662,0.4857711,3.5,787.232421875,9.0
1,5.867673873901367,0.1979999989271164,7.036435127258301,0.09099999815225601,0,1,1,0,0,0,1,1,1,1,0,0,False,4.3601794,3.8524864,12.07557,0.7500994,2.4783146,0.0008100000384729356,0.018001124,0.11957107,0.13678068,0.2828131,2.6,787.232421875,9.0
2,5.266892910003662,0.24400000274181366,7.082902431488037,0.10499999672174454,0,1,1,0,0,0,1,1,1,1,0,0,False,15.970305,12.96863,43.82703,3.7127755,11.142729,0.0007290000503417104,0.018365044,0.12018472,-0.14059557,1.0713615,3.2,787.232421875,9.0
3,4.781418323516846,0.2409999966621399,7.48097562789917,0.10499999672174454,0,1,1,0,0,0,1,1,1,1,0,0,False,7.769674,6.975189,24.79741,1.2549024,5.3774853,0.0006561000715009868,0.017367829,0.12016181,0.24865986,0.32734096,3.2,787.232421875,9.0
4,4.264090538024902,0.3089999854564667,8.242230415344238,0.10499999672174454,0,1,1,0,0,1,1,1,1,1,0,0,False,2.8792374,2.905943,10.389882,0.5212236,1.7173026,0.0005904900433961303,0.014581619,0.119378015,0.19928145,0.52459204,3.1,787.232421875,9.0
5,3.630018472671509,0.34700000286102295,8.235272407531738,0.10899999737739563,0,1,1,0,0,0,1,1,1,1,0,0,False,3.6722286,3.6931698,13.084053,0.64222705,2.1698794,0.0005314410547725857,0.010984318,0.11985864,0.110901475,0.4876444,3.1,787.232421875,9.0
6,3.6326498985290527,0.33000001311302185,7.892650127410889,0.10599999874830246,0,1,0,0,0,1,1,1,1,1,0,0,False,7.253855,6.579586,22.224867,1.7969447,4.6754065,0.00047829695977270604,0.009199721,0.11950018,0.1459054,0.27027175,3.1,787.232421875,9.0
7,3.4263505935668945,0.3370000123977661,6.655267715454102,0.11699999868869781,0,1,1,0,0,0,1,1,1,1,0,0,False,126.87447,108.249725,376.13663,27.075777,84.8902,0.0004304672533180565,0.007252966,0.11975225,-0.00048522154,0.8551485,3.2,787.232421875,9.0
8,3.518573045730591,0.28299999237060547,5.828087329864502,0.10599999874830246,0,1,1,0,0,0,1,1,1,1,0,0,False,39.64374,37.17207,146.12642,10.050277,27.918594,0.00038742052274756136,0.005851227,0.1202366,-0.03249583,0.5666273,3.8,787.232421875,9.0
9,3.142249584197998,0.29100000858306885,5.205389022827148,0.10599999874830246,0,1,1,0,0,0,1,1,1,1,0,0,False,5.203211,3.7254393,12.594302,1.0321203,4.102929,0.0003486784757114947,0.0049622073,0.1200065,0.0920111,0.3303304,3.7,787.232421875,9.0
10,2.8626720905303955,0.2849999964237213,4.838071346282959,0.10499999672174454,0,1,1,0,0,0,1,1,1,1,0,0,False,2.027233,1.6732407,5.6394825,0.49916315,1.5031424,0.00031381062290165574,0.0044269925,0.1198345,0.09281985,0.6675873,3.2,787.232421875,9.0
11,2.6722140312194824,0.29499998688697815,4.568530559539795,0.10300000011920929,0,1,1,0,0,0,1,1,1,1,0,0,False,7.1840096,6.516563,22.082571,1.6563985,4.648995,0.0002824295632308349,0.004024841,0.119575456,0.017918663,0.08373105,3.2,787.232421875,9.0
12,2.5516767501831055,0.2980000078678131,4.445345878601074,0.09700000286102295,0,1,1,0,0,0,1,1,1,1,0,0,False,2.011468,1.514756,4.99677,0.44605955,1.565973,0.00025418660952709616,0.003788291,0.11945547,0.077754945,0.32635608,3.2,787.232421875,9.0
13,2.448141574859619,0.30000001192092896,4.393054485321045,0.09600000083446503,0,1,1,0,0,0,1,1,1,1,0,0,False,5.872638,5.6444874,21.322647,0.8132085,3.5889447,0.00022876793809700757,0.0036222027,0.119396135,0.09135202,0.30825746,3.1,787.232421875,9.0
14,2.461913824081421,0.3009999990463257,4.350639820098877,0.09799999743700027,0,1,1,0,0,0,1,1,1,1,0,0,False,3.3983495,2.598035,10.258782,0.83416134,2.6485775,0.00020589114428730683,0.0035600483,0.11935528,0.06280715,0.16823655,3.2,787.232421875,9.0
15,2.378631591796875,0.30300000309944153,4.266959190368652,0.10100000351667404,0,1,1,0,0,0,1,1,1,1,0,0,False,2.6396267,1.8733325,7.1049438,0.61155367,2.3210053,0.00018530203378759326,0.0033582821,0.11929102,0.024839392,0.076186545,3.2,787.232421875,9.0
16,2.3376224040985107,0.30399999022483826,4.261283874511719,0.10199999809265137,0,1,1,0,0,0,1,1,1,1,0,0,False,0.63418496,0.47100946,1.6459209,0.14113064,0.48859912,0.00016677183302817866,0.0033114925,0.11926441,0.024708726,0.06811149,3.2,787.232421875,9.0
17,2.3613882064819336,0.30799999833106995,4.249906539916992,0.10199999809265137,0,1,1,0,0,0,1,1,1,1,0,0,False,1.9248943,1.4937947,6.0880857,0.538202,1.5694222,0.00015009464841568844,0.003260258,0.119257465,0.036179546,0.16860281,3.3,787.232421875,9.0
18,2.3825807571411133,0.3109999895095825,4.151884078979492,0.10199999809265137,0,1,1,0,0,0,1,1,1,1,0,0,False,6.6784177,5.6858068,21.32464,1.5567169,4.795071,0.0001350851875031367,0.0030881346,0.119308114,0.009739318,0.2753602,3.2,787.232421875,9.0
19,2.3361666202545166,0.3089999854564667,4.123807430267334,0.10499999672174454,0,1,1,0,0,0,1,1,1,1,0,0,False,1.19508,0.92332107,3.5225167,0.27129152,0.93984056,0.00012157666351413355,0.0030183718,0.11931659,0.042049363,0.108702816,3.2,787.232421875,9.0
20,2.2955143451690674,0.3059999942779541,4.047702789306641,0.0989999994635582,0,1,1,0,0,0,1,1,1,1,0,0,False,1.1799208,0.9449798,3.1844327,0.27946785,0.8410222,0.00010941899454337544,0.0029116287,0.119331434,0.020642886,0.077228785,3.2,787.232421875,9.0
21,2.286424160003662,0.3019999861717224,4.036534309387207,0.09799999743700027,0,1,0,0,0,0,1,1,1,1,0,0,False,0.64084977,0.47555694,1.6424087,0.15782768,0.50509024,9.847709443420172e-05,0.0028902427,0.11931779,0.01703874,0.10609615,3.2,787.232421875,9.0
