epoch,train_loss,train_acc,val_loss,val_acc,large_weight_count,acc_gap_too_big,loss_oscillation,dying_relu,gradient_vanish,gradient_explode,decrease_acc_count,increase_loss_count,cons_mean_weight_count,cons_std_weight_count,nan_weight_count,nan_gradients_count,saturated_activation,mean_gradient,gradient_std,gradient_max,gradient_min,gradient_median,adjusted_lr,mean_activation,std_activation,mean_grad,std_grad,cpu_utilization,gpu_memory_utilization,memory_usage
0,0.08373797684907913,0.3627118766307831,0.08786289393901825,0.3400000035762787,0,0,0,0,1,0,1,1,1,1,0,0,False,0.0011679679,0.0022700313,0.0076942635,1.8765006e-05,0.00015578869,0.0009000000427477062,0.083908886,0.030409524,1.1500213e-05,0.0002857847,4.0,23.62353515625,12.4
1,0.08433603495359421,0.3694915175437927,0.0881577581167221,0.3400000035762787,0,0,0,0,1,0,1,1,1,1,0,0,False,0.0014006324,0.002568389,0.0088663325,3.408003e-05,0.00026453327,0.0008100000384729356,0.08361846,0.036136813,0.00021516712,0.0004111976,2.8,23.623779296875,12.4
2,0.08376140892505646,0.37627118825912476,0.08850778639316559,0.3400000035762787,0,0,0,0,1,0,1,1,1,1,0,0,False,0.0005942832,0.0009709826,0.0033809594,2.2502238e-05,0.00016199019,0.0007290000503417104,0.083276875,0.041400243,0.00014498597,9.100687e-05,1.5,23.623779296875,12.4
3,0.08302546292543411,0.37627118825912476,0.08864195644855499,0.3400000035762787,0,0,0,0,1,0,1,1,1,1,0,0,False,0.0006951201,0.001186666,0.0038166384,2.4077415e-05,0.00016920791,0.0006561000715009868,0.082928985,0.042906165,6.935266e-05,0.00013350487,1.9,23.623779296875,12.4
4,0.08384601771831512,0.37627118825912476,0.08860054612159729,0.3400000035762787,0,0,0,0,1,0,1,1,1,1,0,0,False,0.0008181834,0.0012669042,0.0043696286,3.7419428e-05,0.0002501786,0.0005904900433961303,0.08274501,0.042232495,0.00029412925,0.00044415356,3.3,23.623779296875,12.4
5,0.0828552171587944,0.37627118825912476,0.08857784420251846,0.3400000035762787,0,0,0,0,1,0,1,1,1,1,0,0,False,0.00076176575,0.0011487516,0.0040062726,3.9636925e-05,0.00028174816,0.0005314410547725857,0.082419746,0.041612405,0.00031094157,0.00040487782,3.6,23.623779296875,12.4
6,0.08342969417572021,0.37627118825912476,0.08856143057346344,0.3400000035762787,0,0,0,0,1,0,1,1,1,1,0,0,False,0.00063533476,0.0010498804,0.0034292808,2.5558176e-05,0.000199733,0.00047829695977270604,0.08218866,0.041236006,3.4841025e-05,0.00051833625,3.4,23.623779296875,12.4
7,0.08342805504798889,0.37627118825912476,0.08854441344738007,0.3400000035762787,0,0,0,0,1,0,1,1,1,1,0,0,False,0.0003577572,0.00054547243,0.0019066535,2.4630914e-05,0.00014461637,0.0004304672533180565,0.08219492,0.04078675,3.2353542e-05,0.0003598284,3.7,23.623779296875,12.4
8,0.08259066939353943,0.37627118825912476,0.0885842815041542,0.3400000035762787,0,0,0,0,1,0,1,1,1,1,0,0,False,0.0005818545,0.0009134759,0.003076818,2.9449464e-05,0.00020419036,0.00038742052274756136,0.08207904,0.041182883,1.1225753e-05,0.0005424046,3.5,23.623779296875,12.4
9,0.08196300268173218,0.37627118825912476,0.08860665559768677,0.3400000035762787,0,0,0,0,1,0,1,1,1,1,0,0,False,0.000802191,0.0011379084,0.004148266,5.33915e-05,0.00037067683,0.0003486784757114947,0.08191341,0.041299917,0.00012161794,0.00021173664,3.6,23.623779296875,12.4
10,0.08431567996740341,0.37627118825912476,0.08865217119455338,0.3400000035762787,0,0,0,0,1,0,1,1,1,1,0,0,False,0.00073958334,0.0011435627,0.0038005086,3.5542354e-05,0.00024953388,0.00031381062290165574,0.08179367,0.041598644,-0.00027480777,0.00026328585,3.4,23.623779296875,12.4
11,0.08293059468269348,0.37627118825912476,0.08871078491210938,0.3400000035762787,0,0,0,0,1,0,1,1,1,1,0,0,False,0.00053596124,0.0008177468,0.0029983234,2.8317134e-05,0.00019086138,0.0002824295632308349,0.081737734,0.04218274,-0.00012441124,0.0002931465,3.6,23.623779296875,12.4
12,0.08295215666294098,0.37627118825912476,0.08874011784791946,0.3400000035762787,0,0,0,0,1,0,1,1,1,1,0,0,False,0.00076563,0.0011179409,0.0036309257,4.2737018e-05,0.00029617146,0.00025418660952709616,0.081749566,0.042335734,5.975693e-05,0.00013420329,3.4,23.623779296875,12.4
13,0.08299866318702698,0.37627118825912476,0.08875951915979385,0.3400000035762787,0,0,0,0,1,0,1,1,1,1,0,0,False,0.00044857885,0.00058653776,0.0021576954,3.1526077e-05,0.00018014199,0.00022876793809700757,0.08178232,0.042290032,0.00011866422,0.0002818856,3.7,23.662353515625,12.4
14,0.08308431506156921,0.37627118825912476,0.08877155184745789,0.3400000035762787,0,0,0,0,1,0,1,1,1,1,0,0,False,0.0008293651,0.0010353037,0.003711241,8.114036e-05,0.0004305832,0.00020589114428730683,0.08186517,0.04216444,-0.00037107687,0.0003914726,3.3,23.662353515625,12.4
15,0.08297799527645111,0.37627118825912476,0.08879154920578003,0.3400000035762787,0,0,0,0,1,0,1,1,1,1,0,0,False,0.00037539113,0.00048024405,0.0016780793,3.7782724e-05,0.00020210071,0.00018530203378759326,0.08193972,0.04223545,6.431318e-05,0.00014037217,3.6,23.662353515625,12.4
