epoch,train_loss,train_acc,val_loss,val_acc,large_weight_count,acc_gap_too_big,loss_oscillation,dying_relu,gradient_vanish,gradient_explode,decrease_acc_count,increase_loss_count,cons_mean_weight_count,cons_std_weight_count,nan_weight_count,nan_gradients_count,saturated_activation,mean_gradient,gradient_std,gradient_max,gradient_min,gradient_median,adjusted_lr,mean_activation,std_activation,mean_grad,std_grad,cpu_utilization,gpu_memory_utilization,memory_usage
0,0.6216086149215698,nan,0.486456960439682,nan,0,0,0,0,0,0,1,1,1,1,0,0,False,0.052876145,0.028098462,0.11254912,0.015022168,0.0458289,0.0009000000427477062,0.20913447,0.22615643,-0.0009556362,0.014643044,2.5,21.675537109375,5.8
1,0.34541910886764526,nan,0.26534131169319153,nan,0,0,1,0,0,0,1,1,1,1,0,0,False,0.0754037,0.0767986,0.2815619,0.012673679,0.043411963,0.0008100000384729356,0.23477502,0.29778013,-0.0003274269,0.02119676,2.7,21.675537109375,5.8
2,0.24397237598896027,nan,0.1944161057472229,nan,0,0,1,0,0,0,1,1,1,1,0,0,False,0.06125665,0.06125984,0.21793853,0.0033836039,0.037952594,0.0007290000503417104,0.24176073,0.31720373,-0.000653923,0.012113574,3.0,21.675537109375,5.8
3,0.17099876701831818,nan,0.1785411387681961,nan,0,0,1,0,0,0,1,1,1,1,0,0,False,0.053421702,0.062020015,0.2206373,0.0005208318,0.0315249,0.0006561000715009868,0.22572474,0.30038673,-0.0010467203,0.0065881778,2.7,21.962890625,5.8
4,0.152136892080307,nan,0.16028212010860443,nan,0,0,1,0,0,0,1,1,1,1,0,0,False,0.052477214,0.06219012,0.21710525,0.0012454252,0.030028962,0.0005904900433961303,0.24910115,0.3451054,-0.0009994977,0.013472357,2.7,21.962890625,5.8
5,0.12836655974388123,nan,0.15269418060779572,nan,0,0,1,0,0,0,1,1,1,1,0,0,False,0.043982405,0.053398192,0.186708,0.0010537903,0.023446422,0.0005314410547725857,0.24492776,0.33114657,5.0338276e-05,0.016117768,2.7,21.962890625,5.8
6,0.11834201216697693,nan,0.15656417608261108,nan,0,0,1,0,0,0,1,1,1,1,0,0,False,0.041285276,0.049480896,0.1827581,0.001502708,0.023789294,0.00047829695977270604,0.25348428,0.35273156,0.00019406543,0.01271299,2.7,21.962890625,5.8
7,0.1098596379160881,nan,0.18415075540542603,nan,0,0,0,0,0,0,1,1,1,1,0,0,False,0.0957258,0.06549473,0.23106493,0.022038953,0.08142499,0.0004304672533180565,0.25667897,0.33779177,0.0018340884,0.037719768,2.7,21.962890625,5.8
8,0.10608410835266113,nan,0.15268494188785553,nan,0,0,0,0,0,0,1,1,1,1,0,0,False,0.063381866,0.055709295,0.20886065,0.010570754,0.04843676,0.00038742052274756136,0.25873518,0.3556377,0.00036866707,0.03782543,2.7,21.962890625,5.8
9,0.09289910644292831,nan,0.15511173009872437,nan,0,0,1,0,0,0,1,1,1,1,0,0,False,0.060587898,0.06893874,0.24017468,0.0040235873,0.035448752,0.0003486784757114947,0.2779214,0.39415836,-0.00012418024,0.0110472245,2.7,21.962890625,5.8
10,0.0756252110004425,nan,0.15650540590286255,nan,0,0,1,0,0,0,1,1,1,1,0,0,False,0.059658226,0.046304338,0.16154373,0.011954335,0.044783972,0.00031381062290165574,0.26361027,0.36211133,-6.266348e-05,0.014505148,2.7,21.962890625,5.8
11,0.07542881369590759,nan,0.16100265085697174,nan,0,0,0,0,0,0,1,1,1,1,0,0,False,0.046790913,0.052936573,0.19280152,0.0076092947,0.027731236,0.0002824295632308349,0.2661345,0.3819858,-0.00044736653,0.0057851616,2.7,21.962890625,5.8
12,0.07478261739015579,nan,0.16120466589927673,nan,0,0,0,0,0,0,1,1,1,1,0,0,False,0.0403758,0.05173195,0.18591025,0.00012414281,0.021038163,0.00025418660952709616,0.2779305,0.37578812,-0.00030632186,0.023568347,2.7,21.962890625,5.8
13,0.06872092187404633,nan,0.16430208086967468,nan,0,0,0,0,0,0,1,1,1,1,0,0,False,0.051164836,0.058870897,0.21384947,0.004109458,0.03070084,0.00022876793809700757,0.25697663,0.36107942,-0.0002708738,0.010072921,2.7,21.962890625,5.8
14,0.06473366171121597,nan,0.1552954763174057,nan,0,0,0,0,0,0,1,1,1,1,0,0,False,0.056190353,0.049732313,0.17329673,0.0073042638,0.038665578,0.00020589114428730683,0.2789158,0.3954228,0.00011080581,0.013789075,2.7,21.962890625,5.8
15,0.068120077252388,nan,0.16588006913661957,nan,0,0,0,0,0,0,1,1,1,1,0,0,False,0.048578907,0.053366076,0.19297038,0.0040245946,0.02848373,0.00018530203378759326,0.26706296,0.3608253,7.314693e-05,0.009299436,2.7,21.962890625,5.8
16,0.05700419470667839,nan,0.16351860761642456,nan,0,0,1,0,0,0,1,1,1,1,0,0,False,0.03526385,0.04244208,0.15378383,0.0014015469,0.019401437,0.00016677183302817866,0.27335748,0.38605848,-0.0006040664,0.0095439525,2.6,21.962890625,5.8
17,0.052809882909059525,nan,0.16203680634498596,nan,0,0,0,0,0,0,1,1,1,1,0,0,False,0.035332657,0.039789513,0.14610107,0.0017211061,0.020645835,0.00015009464841568844,0.2736635,0.38805044,-0.0007303944,0.007505512,2.7,22.108154296875,5.8
18,0.05906793102622032,nan,0.1663651317358017,nan,0,0,0,0,0,0,1,1,1,1,0,0,False,0.039336253,0.049310643,0.17914924,0.00061599776,0.022841986,0.0001350851875031367,0.28209478,0.40018904,0.0010592522,0.029628983,2.6,22.108154296875,5.8
19,0.056078627705574036,nan,0.16321653127670288,nan,0,0,0,0,0,0,1,1,1,1,0,0,False,0.065368645,0.054115627,0.18795285,0.010540082,0.047711663,0.00012157666351413355,0.2750996,0.3836696,-3.0984625e-05,0.019993229,2.6,22.108154296875,5.8
20,0.040924545377492905,nan,0.16403448581695557,nan,0,0,1,0,0,0,1,1,1,1,0,0,False,0.038769238,0.03465539,0.12269048,0.0059273066,0.027276024,0.00010941899454337544,0.2774802,0.40299645,0.0004728325,0.015590709,2.6,22.108154296875,5.8
21,0.05728093162178993,nan,0.17083129286766052,nan,0,0,1,0,0,0,1,1,1,1,0,0,False,0.03931852,0.047863718,0.1713031,0.0013280694,0.023133788,9.847709443420172e-05,0.2700812,0.38969967,-0.00049509347,0.017290687,2.6,22.108154296875,5.8
22,0.04448655620217323,nan,0.17688503861427307,nan,0,0,1,0,0,0,1,1,1,1,0,0,False,0.040925156,0.04472781,0.15801065,0.0025331995,0.024984762,8.862938630045391e-05,0.26706156,0.3632448,0.00078368705,0.024638407,2.6,22.108154296875,5.8
23,0.054086171090602875,nan,0.1772560477256775,nan,0,0,0,0,0,0,1,1,1,1,0,0,False,0.042686313,0.04945808,0.17149943,0.0031980113,0.02512025,7.976644701557234e-05,0.27243704,0.38709602,-0.00076287304,0.009530512,2.6,22.108154296875,5.8
24,0.04680388793349266,nan,0.17473964393138885,nan,0,0,0,0,0,0,1,1,1,1,0,0,False,0.046946596,0.044126533,0.15788458,0.0050230185,0.033848662,7.178980231401511e-05,0.2853875,0.419039,-4.9582555e-05,0.014519607,2.6,22.108154296875,5.8
25,0.05283947288990021,nan,0.1742037981748581,nan,0,0,0,0,0,0,1,1,1,1,0,0,False,0.057591524,0.052988365,0.17794453,0.0064317873,0.038681537,6.461082011810504e-05,0.26199666,0.36586443,-0.0010171413,0.0104848705,2.7,22.108154296875,5.8
26,0.04491857439279556,nan,0.17199067771434784,nan,0,0,0,0,0,0,1,1,1,1,0,0,False,0.03908507,0.041885626,0.15318008,0.005130093,0.024601586,5.8149741380475466e-05,0.29414526,0.41129124,-2.4149866e-05,0.008644505,2.6,22.108154296875,5.8
27,0.05516717955470085,nan,0.16986922919750214,nan,0,0,1,0,0,0,1,1,1,1,0,0,False,0.043433983,0.051937018,0.17525952,0.0005611528,0.022410188,5.233476658759173e-05,0.28637853,0.39936626,0.00028070185,0.021626115,2.7,22.108154296875,5.8
28,0.04908594489097595,nan,0.17067144811153412,nan,0,0,0,0,0,0,1,1,1,1,0,0,False,0.049287066,0.05458014,0.1967422,0.005249455,0.030236363,4.7101289601414466e-05,0.26122776,0.36647543,-0.00062541914,0.012652963,2.6,22.108154296875,5.8
29,0.04628053680062294,nan,0.1728059947490692,nan,0,0,0,0,0,0,1,1,1,1,0,0,False,0.04739511,0.04619058,0.15422949,0.0040607005,0.030014597,4.239116096869111e-05,0.28608474,0.4120512,6.259917e-05,0.01884035,2.6,22.108154296875,5.8
30,0.05086084455251694,nan,0.17165063321590424,nan,0,0,0,0,0,0,1,1,1,1,0,0,False,0.03809559,0.044444136,0.15540868,0.0003579514,0.021581352,3.815204618149437e-05,0.282315,0.3979428,-0.0006222566,0.010528519,2.6,22.108154296875,5.8
31,0.050344329327344894,nan,0.17099395394325256,nan,0,0,0,0,0,0,1,1,1,1,0,0,False,0.041327085,0.048804723,0.17143844,0.002621525,0.02291282,3.4336842873017304e-05,0.28249353,0.4163306,-0.00043077036,0.0191867,2.6,22.108154296875,5.8
32,0.038229282945394516,nan,0.16886119544506073,nan,0,0,1,0,0,0,1,1,1,1,0,0,False,0.053016763,0.04582851,0.160679,0.0067801774,0.03875434,3.0903160222806036e-05,0.26806256,0.38245162,0.00046336398,0.017651754,2.6,22.108154296875,5.8
33,0.050626400858163834,nan,0.16826856136322021,nan,0,0,1,0,0,0,1,1,1,1,0,0,False,0.03494529,0.043568194,0.15785125,0.000903749,0.019940596,2.7812844200525434e-05,0.25821936,0.36188602,-6.3556695e-06,0.020908639,2.6,22.108154296875,5.8
34,0.04224514961242676,nan,0.16723638772964478,nan,0,0,0,0,0,0,1,1,1,1,0,0,False,0.029955193,0.03383593,0.12328903,0.0021138,0.019090764,2.5031560107890984e-05,0.2849855,0.40797722,-0.00086072803,0.015212528,2.6,22.108154296875,5.8
35,0.04633287340402603,nan,0.167430579662323,nan,0,0,0,0,0,0,1,1,1,1,0,0,False,0.04233922,0.047635034,0.17146201,0.003878689,0.02477686,2.2528404588229024e-05,0.27580836,0.38893315,-0.00070386374,0.015072606,2.7,22.108154296875,5.8
36,0.04108050465583801,nan,0.1678440272808075,nan,0,0,0,0,0,0,1,1,1,1,0,0,False,0.036001313,0.0399346,0.14900267,0.0041746767,0.022493213,2.0275563474569936e-05,0.29404756,0.4076157,-0.00040005505,0.025959129,2.7,22.108154296875,5.8
37,0.04368913546204567,nan,0.16771908104419708,nan,0,0,0,0,0,0,1,1,1,1,0,0,False,0.03739375,0.043343846,0.15839711,0.0032639843,0.022599963,1.8248007290821987e-05,0.26666984,0.37453973,0.0015330954,0.01534214,2.9,22.108154296875,5.8
38,0.05033929646015167,nan,0.16780893504619598,nan,0,0,0,0,0,0,1,1,1,1,0,0,False,0.03451484,0.044660665,0.15164107,0.00017426004,0.018142082,1.6423206398030745e-05,0.30281267,0.4193922,0.0019009993,0.01698144,2.6,22.108154296875,5.8
39,0.050994206219911575,nan,0.1675329953432083,nan,0,0,0,0,0,0,1,1,1,1,0,0,False,0.048009545,0.058650948,0.2112683,0.0054826615,0.025644772,1.4780885430809576e-05,0.28726843,0.41470245,0.00016417242,0.020641277,2.6,22.108154296875,5.8
40,0.05000247806310654,nan,0.16728529334068298,nan,0,0,0,0,0,0,1,1,1,1,0,0,False,0.05481184,0.046140008,0.16759026,0.009743616,0.04281073,1.3302796560310526e-05,0.27090117,0.37385628,-0.00014676803,0.030342666,2.6,22.108154296875,5.8
41,0.04097245633602142,nan,0.1667800098657608,nan,0,0,0,0,0,0,1,1,1,1,0,0,False,0.051626276,0.04669161,0.15225028,0.007164325,0.034737326,1.1972517313552089e-05,0.28257063,0.3980178,0.0008846892,0.015043433,2.6,22.108154296875,5.8
42,0.03987879306077957,nan,0.1678217351436615,nan,0,0,0,0,0,0,1,1,1,1,0,0,False,0.03487008,0.040981114,0.14672245,0.0015109769,0.02007786,1.077526558219688e-05,0.27901742,0.41155648,9.2045266e-05,0.021098657,2.6,22.108154296875,5.8
43,0.039859283715486526,nan,0.16867780685424805,nan,0,0,0,0,0,0,1,1,1,1,0,0,False,0.037936393,0.03908594,0.138836,0.00402363,0.024815843,9.697739187686238e-06,0.2805861,0.38116685,0.00019366467,0.016034314,2.6,22.108154296875,5.8
