epoch,train_loss,train_acc,val_loss,val_acc,large_weight_count,acc_gap_too_big,loss_oscillation,dying_relu,gradient_vanish,gradient_explode,decrease_acc_count,increase_loss_count,cons_mean_weight_count,cons_std_weight_count,nan_weight_count,nan_gradients_count,saturated_activation,mean_gradient,gradient_std,gradient_max,gradient_min,gradient_median,adjusted_lr,mean_activation,std_activation,mean_grad,std_grad,cpu_utilization,gpu_memory_utilization,memory_usage
0,0.8450039625167847,-0.2048187255859375,0.8777258396148682,-1.006106414794922,0,1,0,0,0,0,1,1,1,1,0,0,False,0.03351486,0.013932105,0.052363764,0.016186565,0.026552664,0.0044999998994171625,-0.0071492014,0.08285637,-0.017361457,0.003576833,4.0,446.996826171875,7.6
1,0.8406919240951538,-0.14524818420410157,0.8803422451019287,-1.0867161560058594,0,1,0,0,0,0,1,1,1,1,0,0,False,0.020689372,0.008728398,0.032902632,0.009081174,0.019772697,0.004049999825656414,-0.03275095,0.06810798,0.0073320544,0.0010919304,3.1,447.0556640625,7.6
2,0.8331252336502075,-0.06828819274902354,0.8815454840660095,-1.3551042175292967,0,1,0,0,0,0,1,1,1,1,0,0,False,0.020725397,0.004955183,0.027063668,0.015046298,0.017813139,0.0036449996754527093,-0.038717527,0.07194236,-0.0010159614,0.0012075343,5.4,447.08935546875,7.6
3,0.8094007968902588,-0.14552215576171879,0.8809193968772888,-1.70849609375,0,1,1,0,0,0,1,1,1,1,0,0,False,0.03641096,0.0064884126,0.046663962,0.029009644,0.034722224,0.0032804996240884065,-0.034942284,0.08440179,-0.017548751,0.004720767,4.1,447.100830078125,7.6
4,0.7641374468803406,-0.12200012207031241,0.878525972366333,-2.178443603515625,0,1,1,0,0,0,1,1,1,1,0,0,False,0.106094696,0.032739744,0.16114025,0.06792423,0.10229107,0.0029524497454985975,-0.022658018,0.105044276,-0.025839228,0.0064845337,3.6,447.100830078125,7.6
5,0.7679786086082458,-0.0967413330078124,0.8765521049499512,-2.7175701904296874,0,1,0,0,0,0,1,1,1,1,0,0,False,0.092500106,0.029300183,0.14449272,0.06028846,0.09236991,0.00265720474999398,-0.0045462875,0.13101658,-0.008147663,0.0033025884,3.6,447.100830078125,7.6
6,0.7925201654434204,-0.10192893981933593,0.8767167925834656,-3.422914123535156,0,1,1,0,0,0,1,1,1,1,0,0,False,0.07802842,0.05325416,0.17937541,0.033425964,0.052497324,0.002391484379768372,0.027282476,0.17221555,0.017038066,0.004876519,3.6,447.100830078125,7.6
7,0.7336717844009399,-0.2686803436279297,0.8792761564254761,-3.8405645751953124,0,1,1,0,0,0,1,1,1,1,0,0,False,0.09387904,0.06336216,0.20533434,0.00810185,0.08386016,0.0021523358998820187,0.059802994,0.21676299,-0.0017323412,0.009519023,3.7,447.100830078125,7.6
8,0.7173395752906799,-0.6639056396484375,0.8607022762298584,-3.8410961914062502,0,1,1,0,0,0,1,1,1,1,0,0,False,0.13109827,0.023984198,0.1673481,0.09953703,0.13473426,0.0019371022470295429,0.0682751,0.24753433,0.014760611,0.011957658,3.6,447.100830078125,7.6
9,0.6631666421890259,-0.7850535583496094,0.8614228963851929,-4.031746215820313,0,1,1,0,0,0,1,1,1,1,0,0,False,0.18403657,0.10120587,0.3172354,0.006944445,0.20479934,0.0017433920642361046,0.049376924,0.2553362,-0.010301671,0.016274381,3.7,447.100830078125,7.6
10,0.7062044739723206,-0.7499740600585938,0.8835951089859009,-4.532347412109375,0,1,1,0,0,0,1,1,1,1,0,0,False,0.20340452,0.10179724,0.3562963,0.06828703,0.18370524,0.001569052878767252,0.035219368,0.27351886,0.00019703773,0.0085117575,3.6,447.100830078125,7.6
11,0.6505053043365479,-0.9666131591796876,0.9094691276550293,-4.917987670898437,0,1,1,0,0,0,1,1,1,1,0,0,False,0.31397396,0.19678172,0.5828555,0.120370366,0.19118325,0.0014121476328000427,0.0336282,0.30277345,-0.033020064,0.01982178,3.6,447.100830078125,7.6
