epoch,train_loss,train_acc,val_loss,val_acc,large_weight_count,acc_gap_too_big,loss_oscillation,dying_relu,gradient_vanish,gradient_explode,decrease_acc_count,increase_loss_count,cons_mean_weight_count,cons_std_weight_count,nan_weight_count,nan_gradients_count,saturated_activation,mean_gradient,gradient_std,gradient_max,gradient_min,gradient_median,adjusted_lr,mean_activation,std_activation,mean_grad,std_grad,cpu_utilization,gpu_memory_utilization,memory_usage
0,2.3027288913726807,0.10007711499929428,2.3026154041290283,0.09651027619838715,0,0,0,1,1,0,1,1,1,1,0,0,False,0.0016353481,0.0016705587,0.004356905,9.7230084e-05,0.0010436287,0.0009000000427477062,0.05,0.00061301165,-6.519258e-10,0.008129028,3.0,4778.8173828125,9.0
1,2.302650213241577,0.0997537225484848,2.3025496006011963,0.0999949499964714,0,0,0,1,1,0,1,1,1,1,0,0,False,0.00096208806,0.001599285,0.0037319013,5.38805e-06,5.553144e-05,0.0008100000384729356,0.05,0.00059201603,-3.7252904e-10,0.011766271,3.4,4778.8173828125,9.1
2,2.302553653717041,0.10005223751068115,2.3024768829345703,0.10418665409088135,0,0,0,1,1,0,1,1,1,1,0,0,False,0.00094008254,0.001628146,0.0037601143,1.6057205e-08,9.984331e-08,0.0007290000503417104,0.05,0.0006430012,-6.519258e-10,0.007427797,3.4,4778.8173828125,9.1
3,2.302565097808838,0.10025124996900558,2.3027031421661377,0.0999949499964714,0,0,0,1,1,0,1,1,1,1,0,0,False,0.000987069,0.0017096536,0.003948276,0.0,0.0,0.0006561000715009868,0.05,0.0006666734,2.2351743e-09,0.008931082,3.5,4778.8173828125,9.0
4,2.3026013374328613,0.09868405014276505,2.3026716709136963,0.0999949499964714,0,0,0,1,1,0,1,1,1,1,0,0,False,0.00090267125,0.0015634724,0.003610685,0.0,0.0,0.0005904900433961303,0.05,0.0005951025,7.4505807e-10,0.007127032,3.2,4778.8173828125,8.9
5,2.3025851249694824,0.10062438994646072,2.302607297897339,0.0999949499964714,0,0,0,1,1,0,1,1,1,1,0,0,False,0.0005782449,0.0010015495,0.0023129797,0.0,0.0,0.0005314410547725857,0.05,0.0005661506,-1.8626451e-09,0.008762436,3.4,4778.8173828125,8.9
6,2.302574634552002,0.10139555484056473,2.302698850631714,0.0999949499964714,0,0,0,1,1,0,1,1,1,1,0,0,False,0.0007756603,0.0013434829,0.003102641,0.0,0.0,0.00047829695977270604,0.05,0.00047326114,2.3283064e-09,0.0080457255,3.5,4778.8173828125,8.9
7,2.302565097808838,0.0993308275938034,2.302639961242676,0.0999949499964714,0,0,0,1,1,0,1,1,1,1,0,0,False,0.00085709634,0.0014845344,0.0034283854,0.0,0.0,0.0004304672533180565,0.05,0.0005413354,1.5832484e-09,0.0070685255,3.2,4778.8173828125,8.9
8,2.302572011947632,0.10020149499177933,2.3026444911956787,0.0999949499964714,0,0,0,1,1,0,1,1,1,1,0,0,False,0.0007510009,0.0013007717,0.0030040035,0.0,0.0,0.00038742052274756136,0.05,0.00050646847,6.519258e-10,0.00840727,3.5,4778.8173828125,8.9
9,2.302534341812134,0.10057464241981506,2.302610158920288,0.0999949499964714,0,0,0,1,1,0,1,1,1,1,0,0,False,0.0005160235,0.00089377887,0.002064094,0.0,0.0,0.0003486784757114947,0.05,0.00040887893,-1.6763806e-09,0.00976734,3.5,4778.8173828125,8.9
10,2.3025388717651367,0.10179357975721359,2.3025829792022705,0.0999949499964714,0,0,0,1,1,0,1,1,1,1,0,0,False,0.0007295006,0.0012635321,0.0029180024,0.0,0.0,0.00031381062290165574,0.05,0.0004083754,-1.2572855e-09,0.007406587,3.3,4778.8173828125,8.9
11,2.3025381565093994,0.10062438994646072,2.3025999069213867,0.0999949499964714,0,0,0,1,1,0,1,1,1,1,0,0,False,0.000762864,0.0013213193,0.003051456,0.0,0.0,0.0002824295632308349,0.05,0.00047757375,1.4901161e-09,0.008165875,3.5,4778.8173828125,8.9
12,2.3025624752044678,0.09893281012773514,2.3025805950164795,0.0999949499964714,0,0,0,1,1,0,1,1,1,1,0,0,False,0.0006967822,0.0012068622,0.0027871288,0.0,0.0,0.00025418660952709616,0.049999997,0.000439372,-1.1175871e-09,0.00969933,3.5,4778.8173828125,8.8
13,2.3024840354919434,0.10114679485559464,2.3025925159454346,0.0999949499964714,0,0,0,1,1,0,1,1,1,1,0,0,False,0.0008380785,0.0014515945,0.003352314,0.0,0.0,0.00022876793809700757,0.05,0.0004396541,-6.0535965e-10,0.0049965587,3.1,4778.8173828125,8.8
14,2.302544593811035,0.10000248998403549,2.302600622177124,0.0999949499964714,0,0,0,1,1,0,1,1,1,1,0,0,False,0.0009592878,0.0016615352,0.0038371512,0.0,0.0,0.00020589114428730683,0.050000004,0.0004750018,1.4901161e-09,0.0074218526,3.5,4778.8173828125,8.9
15,2.302574634552002,0.10169406980276108,2.302607536315918,0.0999949499964714,0,0,0,1,1,0,1,1,1,1,0,0,False,0.00079281395,0.001373194,0.0031712558,0.0,0.0,0.00018530203378759326,0.05,0.0004957355,-1.3969839e-09,0.0076576704,3.5,4778.8173828125,8.9
16,2.3025527000427246,0.10179357975721359,2.3026070594787598,0.0999949499964714,0,0,0,1,1,0,1,1,1,1,0,0,False,0.0008043145,0.0013931136,0.003217258,0.0,0.0,0.00016677183302817866,0.05,0.00050577486,-1.0244549e-09,0.008115928,3.3,4778.8173828125,8.9
17,2.302485466003418,0.1009477823972702,2.302595853805542,0.0999949499964714,0,0,0,1,1,0,1,1,1,1,0,0,False,0.0010434191,0.001807255,0.0041736765,0.0,0.0,0.00015009464841568844,0.05,0.00048203432,2.188608e-09,0.006998643,3.5,4778.8173828125,8.9
18,2.302474021911621,0.10179357975721359,2.302602767944336,0.0999949499964714,0,0,0,1,1,0,1,1,1,1,0,0,False,0.001022443,0.0017709231,0.004089772,0.0,0.0,0.0001350851875031367,0.05,0.00048232553,-1.1874363e-09,0.008068788,3.4,4778.8173828125,8.9
19,2.302517890930176,0.10179357975721359,2.3025875091552734,0.0999949499964714,0,0,0,1,1,0,1,1,1,1,0,0,False,0.0011538955,0.0019986057,0.004615582,0.0,0.0,0.00012157666351413355,0.05,0.00048183594,-5.5879357e-10,0.006780256,3.2,4778.8173828125,8.9
20,2.302483081817627,0.10151993483304977,2.3025918006896973,0.0999949499964714,0,0,0,1,1,0,1,1,1,1,0,0,False,0.0009745507,0.0016879713,0.003898203,0.0,0.0,0.00010941899454337544,0.05,0.00047291338,1.2572855e-09,0.0036520434,3.5,4778.8173828125,8.9
21,2.30249285697937,0.10045026242733002,2.302595376968384,0.0999949499964714,0,0,0,1,1,0,1,1,1,1,0,0,False,0.00085530634,0.001481434,0.0034212254,0.0,0.0,9.847709443420172e-05,0.05,0.00047894203,-1.6414561e-09,0.0066135777,3.5,4778.8173828125,8.9
22,2.3025169372558594,0.10179357975721359,2.3025999069213867,0.0999949499964714,0,0,0,1,1,0,1,1,1,1,0,0,False,0.0007653506,0.001325626,0.0030614024,0.0,0.0,8.862938630045391e-05,0.05,0.00048048692,-2.5262126e-09,0.005785649,3.2,4778.8173828125,8.9
23,2.302496910095215,0.10179357975721359,2.302597761154175,0.0999949499964714,0,0,0,1,1,0,1,1,1,1,0,0,False,0.0006724616,0.0011647376,0.0026898463,0.0,0.0,7.976644701557234e-05,0.05,0.00048264663,-1.5133991e-10,0.0074910074,3.4,4778.8173828125,9.0
24,2.30253529548645,0.10179357975721359,2.302598476409912,0.0999949499964714,0,0,0,1,1,0,1,1,1,1,0,0,False,0.0005634763,0.0009759696,0.0022539052,0.0,0.0,7.178980231401511e-05,0.05,0.00047865004,5.5879357e-10,0.010044436,3.5,4778.8173828125,8.9
25,2.3024797439575195,0.10179357975721359,2.302597999572754,0.0999949499964714,0,0,0,1,1,0,1,1,1,1,0,0,False,0.0010252629,0.0017758075,0.0041010515,0.0,0.0,6.461082011810504e-05,0.05,0.00047943537,-1.0244549e-09,0.006559462,3.2,4778.8173828125,8.9
26,2.3025362491607666,0.10179357975721359,2.3025968074798584,0.0999949499964714,0,0,0,1,1,0,1,1,1,1,0,0,False,0.0006431021,0.0011138855,0.0025724084,0.0,0.0,5.8149741380475466e-05,0.05,0.00047874646,4.0861776e-09,0.0064272275,3.5,4778.8173828125,9.0
27,2.302499771118164,0.10179357975721359,2.302598714828491,0.0999949499964714,0,0,0,1,1,0,1,1,1,1,0,0,False,0.0014740216,0.0025530804,0.0058960863,0.0,0.0,5.233476658759173e-05,0.05,0.00047594195,1.1175871e-09,0.009835485,3.5,4778.8173828125,9.0
28,2.3025128841400146,0.10179357975721359,2.3025989532470703,0.0999949499964714,0,0,0,1,1,0,1,1,1,1,0,0,False,0.00055204274,0.00095616607,0.002208171,0.0,0.0,4.7101289601414466e-05,0.049999993,0.00047427524,-1.9790605e-09,0.007695005,3.1,4778.8173828125,9.0
29,2.302501678466797,0.10179357975721359,2.3026018142700195,0.0999949499964714,0,0,0,1,1,0,1,1,1,1,0,0,False,0.0005829535,0.0010097051,0.002331814,0.0,0.0,4.239116096869111e-05,0.05,0.00047851016,5.9371813e-10,0.00398252,3.5,4778.8173828125,9.0
30,2.3025131225585938,0.10179357975721359,2.302600860595703,0.0999949499964714,0,0,0,1,1,0,1,1,1,1,0,0,False,0.00075139984,0.0013014626,0.0030055994,0.0,0.0,3.815204618149437e-05,0.05,0.00047726557,-4.1909515e-10,0.0059688515,3.5,4778.8173828125,8.9
31,2.3024845123291016,0.10179357975721359,2.3026010990142822,0.0999949499964714,0,0,0,1,1,0,1,1,1,1,0,0,False,0.0009493209,0.001644272,0.0037972836,0.0,0.0,3.4336842873017304e-05,0.05,0.00047329304,-1.8160791e-09,0.008304708,3.2,4778.8173828125,8.9
32,2.302509069442749,0.10179357975721359,2.3026015758514404,0.0999949499964714,0,0,0,1,1,0,1,1,1,1,0,0,False,0.0006514668,0.0011283737,0.002605867,0.0,0.0,3.0903160222806036e-05,0.050000004,0.00047629222,-2.6077032e-09,0.009935748,3.5,4778.8173828125,9.0
